107, 68, 61 
105, 66, 59 
113, 74, 69 
114, 75, 70 
101, 63, 62 
80, 45, 43 
118, 82, 84 
140, 106, 107 
139, 107, 108 
131, 100, 98 
138, 104, 103 
127, 92, 88 
107, 68, 63 
108, 65, 59 
113, 68, 62 
108, 63, 58 
123, 77, 79 
130, 86, 87 
111, 70, 68 
118, 77, 71 
123, 83, 75 
138, 98, 86 
115, 78, 62 
123, 86, 68 
124, 86, 67 
113, 75, 56 
98, 56, 42 
120, 78, 64 
86, 42, 33 
106, 62, 53 
115, 67, 63 
78, 33, 28 
129, 86, 79 
128, 88, 80 
127, 84, 75 
113, 70, 61 
125, 82, 73 
122, 79, 70 
108, 64, 53 
107, 63, 50 
109, 63, 50 
102, 56, 41 
104, 57, 41 
119, 72, 54 
104, 55, 38 
130, 82, 62 
127, 79, 59 
87, 40, 22 
82, 34, 24 
126, 79, 71 
128, 81, 73 
125, 78, 70 
118, 73, 67 
129, 84, 78 
92, 49, 43 
106, 63, 57 
142, 101, 97 
120, 79, 75 
123, 83, 83 
114, 74, 74 
115, 77, 76 
122, 84, 83 
101, 62, 63 
112, 72, 72 
113, 72, 66 
131, 88, 81 
140, 96, 87 
97, 53, 44 
112, 65, 55 
116, 70, 57 
117, 69, 57 
128, 80, 66 
140, 93, 77 
137, 90, 74 
136, 90, 74 
132, 89, 72 
123, 80, 63 
110, 69, 51 
79, 41, 22 
119, 82, 64 
135, 98, 89 
153, 119, 110 
62, 25, 17 
60, 23, 15 
122, 83, 76 
92, 54, 45 
125, 85, 77 
132, 92, 82 
98, 60, 47 
103, 65, 52 
102, 66, 52 
94, 58, 46 
81, 47, 37 
94, 59, 53 
111, 78, 73 
134, 105, 101 
120, 95, 90 
41, 24, 17 
157, 146, 140 
204, 201, 196 
198, 200, 195 
185, 191, 187 
146, 155, 150 
170, 175, 169 
178, 177, 172 
86, 77, 70 
67, 48, 42 
103, 75, 71 
105, 72, 67 
129, 89, 87 
108, 67, 63 
84, 43, 39 
129, 90, 85 
104, 67, 61 
91, 52, 47 
116, 77, 72 
95, 54, 52 
94, 53, 51 
118, 74, 73 
118, 74, 73 
113, 69, 68 
85, 41, 40 
105, 64, 62 
138, 97, 95 
130, 89, 85 
83, 42, 38 
130, 91, 84 
137, 96, 92 
88, 42, 42 
112, 63, 66 
103, 57, 57 
130, 85, 82 
122, 79, 73 
137, 94, 85 
132, 89, 80 
88, 46, 34 
117, 70, 60 
127, 80, 70 
125, 78, 68 
124, 80, 69 
121, 76, 70 
103, 63, 55 
92, 51, 45 
117, 79, 70 
149, 106, 97 
109, 67, 55 
119, 77, 65 
120, 78, 66 
117, 73, 62 
67, 23, 12 
143, 99, 88 
86, 42, 31 
117, 74, 65 
106, 63, 54 
102, 62, 54 
122, 82, 74 
103, 64, 57 
101, 62, 55 
86, 47, 42 
116, 77, 70 
115, 76, 69 
102, 64, 55 
97, 59, 50 
101, 63, 54 
93, 56, 48 
90, 53, 45 
102, 65, 59 
97, 60, 54 
70, 33, 27 
130, 93, 87 
107, 68, 63 
105, 66, 61 
117, 78, 71 
95, 56, 49 
86, 45, 39 
98, 59, 54 
79, 45, 44 
122, 91, 88 
115, 80, 74 
105, 69, 57 
105, 68, 50 
